variable,x,y
swa_2000lulc_2km,1.0,0.6607856750488281
swa_2000lulc_2km,2.0,0.5395801067352295
swa_2000lulc_2km,3.0,0.4046887755393982
swa_2000lulc_2km,6.0,0.6607856750488281
swa_2000lulc_2km,8.0,0.6607856750488281
swa_2000lulc_2km,9.0,0.6607856750488281
swa_2000lulc_2km,13.0,0.827782392501831
swa_2000lulc_2km,14.0,0.6607856750488281
swa_2000lulc_2km,15.0,0.4568095803260803
swa_2000lulc_2km,21.0,0.6820251941680908
swa_2000lulc_2km,22.0,0.6607856750488281
swa_2000lulc_2km,25.0,0.6607856750488281
swa_2000lulc_2km,31.0,0.6607856750488281
swa_2000lulc_2km,78.0,0.6607856750488281
swa_2000lulc_2km,99.0,0.6607856750488281
